,Date,Company,Ticker,Managers,Offer Price,Opening Price,1st Day Close,1st Day % Chg,$ Chg Open,$ Chg Close,Star Rating,Performed,Year,Month,Day,Day of Week,1st Day Open to Close % Chg,1st Day Open to Close $ Chg
119,2020-07-22,Jamf Holding ,JAMF,Goldman Sachs/ J.P. Morgan/ BofA Securities/ Barclays,26.0,46.0,39.2,0.5076923076923078,20.0,13.200000000000003,3.0,,2020,7,22,2,-0.1478260869565217,-6.799999999999997
120,2020-07-22,Pershing Square Tontine Holdings ,PTH.U,Citigroup/ Jefferies/ UBS Investment Bank,20.0,21.15,21.3,0.06500000000000003,1.1499999999999986,1.3000000000000007,2.0,,2020,7,22,2,0.007092198581560385,0.15000000000000213
121,2020-07-22,Property Solutions Acquisition ,PSACU,EarlyBirdCapital,10.0,10.04,10.03,0.002999999999999936,0.03999999999999915,0.02999999999999936,1.0,,2020,7,22,2,-0.000996015936254959,-0.009999999999999787
122,2020-07-23,East Resources Acquisition ,ERESU,Wells Fargo Securities,10.0,9.96,10.0,0.0,-0.03999999999999915,0.0,1.0,,2020,7,23,3,0.004016064257028026,0.03999999999999915
123,2020-07-23,Montrose Environmental Group  ,MEG,BofA Securities/ William Blair,15.0,16.5,22.0,0.4666666666666667,1.5,7.0,1.0,Missed,2020,7,23,3,0.3333333333333333,5.5
124,2020-07-23,Skillful Craftsman Education Technology ,EDTK,"The Benchmark Company/ Axiom Capital Management,",5.0,5.35,4.75,-0.05,0.34999999999999964,-0.25,N/C,,2020,7,23,3,-0.11214953271028032,-0.5999999999999996
125,2020-07-24,Annexon ,ANNX,J.P. Morgan/ BofA Securities/ Cowen,17.0,17.4,17.76,0.04470588235294127,0.3999999999999986,0.7600000000000016,3.0,Missed,2020,7,24,4,0.020689655172413966,0.360000000000003
126,2020-07-24,Ascendant Digital Acquisition ,ACND.U,UBS Investment Bank,10.0,10.3,10.31,0.03100000000000005,0.3000000000000007,0.3100000000000005,1.0,,2020,7,24,4,0.0009708737864077462,0.009999999999999787
127,2020-07-24,Greencity Acquisition ,GRCYU,Ladenburg Thalmann,10.0,9.95,10.0,0.0,-0.05000000000000071,0.0,1.0,,2020,7,24,4,0.005025125628140776,0.05000000000000071
128,2020-07-24,Inozyme Pharma ,INZY,BofA Securities/ Cowen/ Piper Sandler,18.0,20.8,17.54,-0.025555555555555602,2.8000000000000007,-0.46000000000000085,3.0,,2020,7,24,4,-0.1567307692307693,-3.2600000000000016
129,2020-07-24,iTeos Therapeutics ,ITOS,J.P. Morgan/ SVB Leerink/ Piper Sandler,19.0,25.55,19.05,0.0026315789473684583,6.550000000000001,0.05000000000000071,3.0,,2020,7,24,4,-0.25440313111545987,-6.5
130,2020-07-24,Nurix Therapeutics ,NRIX,J.P. Morgan/ Piper Sandler/ Stifel,19.0,18.06,19.01,0.0005263157894737665,-0.9400000000000013,0.010000000000001563,3.0,Missed,2020,7,24,4,0.05260243632336672,0.9500000000000028
131,2020-07-28,ACE Convergence Acquisition ,ACEVU,Cantor,10.0,10.2,10.24,0.02400000000000002,0.1999999999999993,0.2400000000000002,1.0,,2020,7,28,1,0.003921568627451071,0.040000000000000924
132,2020-07-29,Vertex ,VERX,Goldman Sachs/ Morgan Stanley,19.0,25.56,23.93,0.2594736842105263,6.559999999999999,4.93,3.0,,2020,7,29,2,-0.06377151799687007,-1.629999999999999
133,2020-07-30,AlloVir ,ALVR,Morgan Stanley/ J.P. Morgan/ SVB Leerink/ Piper Sandler,17.0,20.0,25.39,0.49352941176470594,3.0,8.39,2.0,,2020,7,30,3,0.2695,5.390000000000001
